m Александр Саша Шура Сашенька Шурочка Алекс Шурик Саня Санька Санек
f Александра Саша Шура Сашенька Шурочка
m Алексей Леша Алекс Лешенька Леха
f Алена Лена Леночка Аленушка
f Алеся Леся Алесенька
f Анастасия Настя Настенька
m Анатолий Толя Толик Толенька Толян
m Андрей Андрюша Андрюшенька Андрюшка Андрюха
f Анна Аня Аннушка Анька
m Аркадий Аркаша Аркашенька Аркашка
m Артем Тема Темочка
m Богдан Даня Данечка Данька
m Борис  Боря Боренька Борька
m Вадим  Вадик 
m Валентин Валя Валенька Валька
f Валентина Валя Валенька Валька
m Валерий   Валера Валерик 
f Варвара   Варя Варенька Варварушка Варька
m Василий   Вася Васенька Васька
m Виктор    Витя Витек Витенька Витька
m Виталий   Виталик Виталька Виталя
m Владимир  Володя Влад Володенька Вова Вовик Вован
m Владислав Влад Слава Славик
m Всеволод  Сева
m Вячеслав  Слава Славик
f Галина    Галя Галенька Галька
m Геннадий  Гена Геночка Генка
m Георгий   Жора Жорик
m Григорий  Гриша Гришенька Гришка
f Глафира   Глаша Глашенька Глашка
f Дарья     Даша Дашенька Дашка Дашуля
m Дмитрий  Дима Димочка Димка Митя Митька Митек Димон
m Евгений   Женя Женечка Женька Жека
f Евгения   Женя Женечка Женька
f Евдокия   Дуся Дуняша Дуня Авдотья
f Екатерина   Катя Катенька Катюша Катька Катюшка Катерина
f Елена       Лена Леночка Ленка
f Елизавета   Лиза Лизонька Лизка Вета
f Зоя         Зойка Зоинька Зоюха
f Зинаида     Зина Зинка Зиночка
m Иван        Ваня Ванечка Ванька Ванек Ванюшка Ванюша
m Игорь       Гоша Гошенька Игорек
f Ирина       Ира Ирочка Ирка Иринка Иришка
f Клавдия     Клава Клавочка Клавка
f Клара       Кларочка Кларка
f Кристина    Кристиночка
m Константин  Костя Костян Костенька Коська
f Лариса      Лора Лариска Лара Ларка
m Лев         Лева Левушка
m Леонид      Леня Ленечка Ленька
f Лидия       Лида Лидочка Лидка
f Любовь      Люба Любочка Любка
f Людмила     Люда Людочка Люся Людка
f Маргарита   Рита Риточка Ритка
f Мария       Маша Машенька Машка 
f Марья       Маша Машенька Машка 
m Максим      Макс Максимка
m Михаил      Миша Мишенька Мишка 
f Надежда     Надя Наденька Надька
f Наталья     Наташа Наташенька Натусик Наташка Ната
f Наталия     Наташа Наташенька Натусик Наташка
m Николай     Коля Коленька Колян Колька
f Оксана      Ксюша Оксаночка Оксанка
f Олеся       Леся Олеська
m Олег        Олежка Олежек Олеженька
f Ольга       Оля Оленька Олька
m Павел       Паша Пашенька Пал Пашка
m Петр        Петя Петька Петечка
f Полина      Поля Поленька
m Роман       Рома Ромочка Ромка
f Светлана    Светочка Светка Света
m Святослав   Слава Славка
m Семен       Сема
m Сергей      Сережа Сереженька Серега Сережка
f София       Соня Сонька Сонечка
f Софья       Соня Сонька Сонечка
m Станислав   Слава Славик Славка
m Степан      Степа Степочка Степка
f Таисия      Тая Таечка Тайка Тася
f Тамара      Тома Томочка Тамарочка Тамарка
f Татьяна     Таня Танечка Танюша Танюшка Танька
m Тимофей     Тима Тимка Тимоша Тимошка
m Тихон       Тиша Тишенька Тишка
f Ульяна      Уля Улька Ульяночка
f Фаина       Фая Фаичка Файка
m Федор       Федя Федичка Федька Федечка
f Феодосия    Феня Фенечка Федося
m Филипп      Фил Филиппка
m Эдуард      Эдик Эдичка Тэд
f Эльвира     Эля Элька Эльвирка
f Юлия        Юля Юлька Юленька
m Юрий        Юра Юрочка Юрка
m Яков        Яша Яшенька Яшка


m Вильям  Билл Вилли Билли
m Генри  Хэнк Хенк
m Даниэл Дэнни Денни
m Джеймс Джимми Джим
m Джон Джонни Джек Джо
f Мэри   Мери Полли Молли
m Роберт  Боб
m Ричард  Дик
m Томас   Том
f Сюзанна Сюзен
f Элизабет Лиза Элиза Бесс Бетти
